movieId,item_idx,title,genres
1247,75,"Graduate, The (1967)",Drama|Romance
3147,76,"Green Mile, The (1999)",Drama|Thriller
1357,77,Shine (1996),Drama|Romance
1196,78,Star Wars, Episode V - The Empire Strikes Back (1980)
1957,79,Chariots of Fire (1981),Drama
920,80,Gone with the Wind (1939),Drama|Romance|War
1953,81,"French Connection, The (1971)",Action|Crime|Drama|Thriller
1084,82,Bonnie and Clyde (1967),Crime|Drama
1834,83,"Spanish Prisoner, The (1997)",Drama|Thriller
3471,84,Close Encounters of the Third Kind (1977),Drama|Sci-Fi
3654,85,"Guns of Navarone, The (1961)",Action|Drama|War
3735,86,Serpico (1973),Crime|Drama
1259,87,Stand by Me (1986),Adventure|Comedy|Drama
1784,88,As Good As It Gets (1997),Comedy|Drama
1954,89,Rocky (1976),Action|Drama
1968,90,"Breakfast Club, The (1985)",Comedy|Drama
2728,91,Spartacus (1960),Drama
902,92,Breakfast at Tiffany's (1961),Drama|Romance
1103,93,Rebel Without a Cause (1955),Drama
3451,94,Guess Who's Coming to Dinner (1967),Comedy|Drama
2852,95,"Soldier's Story, A (1984)",Drama
3334,96,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
3578,97,Gladiator (2000),Action|Drama
3068,98,"Verdict, The (1982)",Drama
265,99,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
2312,100,Children of a Lesser God (1986),Drama
590,101,Dances with Wolves (1990),Adventure|Drama|Western
1253,102,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi
3071,103,Stand and Deliver (1987),Drama
1244,104,Manhattan (1979),Comedy|Drama|Romance
3699,105,Starman (1984),Adventure|Drama|Romance|Sci-Fi
1245,106,Miller's Crossing (1990),Drama
1955,107,Kramer Vs. Kramer (1979),Drama
2236,108,Simon Birch (1998),Drama
3678,109,"Man with the Golden Arm, The (1955)",Drama
982,110,Picnic (1955),Drama
1442,111,Prefontaine (1997),Drama
2194,112,"Untouchables, The (1987)",Action|Crime|Drama
2268,113,"Few Good Men, A (1992)",Crime|Drama
3255,114,"League of Their Own, A (1992)",Comedy|Drama
235,115,Ed Wood (1994),Comedy|Drama
647,116,Courage Under Fire (1996),Drama|War
1096,117,Sophie's Choice (1982),Drama
498,118,Mr. Jones (1993),Drama|Romance
1124,119,On Golden Pond (1981),Drama
3893,120,Nurse Betty (2000),Comedy|Thriller
1188,121,Strictly Ballroom (1992),Comedy|Romance
1537,122,Shall We Dance? (Shall We Dansu?) (1996),Comedy
2396,123,Shakespeare in Love (1998),Comedy|Romance
2359,124,Waking Ned Devine (1998),Comedy
356,125,Forrest Gump (1994),Comedy|Romance|War
1265,126,Groundhog Day (1993),Comedy|Romance
3108,127,"Fisher King, The (1991)",Comedy|Drama|Romance
3809,128,What About Bob? (1991),Comedy
457,129,"Fugitive, The (1993)",Action|Thriller
589,130,Terminator 2, Judgment Day (1991)
2571,131,"Matrix, The (1999)",Action|Sci-Fi|Thriller
163,132,Desperado (1995),Action|Romance|Thriller
380,133,True Lies (1994),Action|Adventure|Comedy|Romance
480,134,Jurassic Park (1993),Action|Adventure|Sci-Fi
1610,135,"Hunt for Red October, The (1990)",Action|Thriller
2916,136,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
3418,137,Thelma & Louise (1991),Action|Drama
21,138,Get Shorty (1995),Action|Comedy|Drama
349,139,Clear and Present Danger (1994),Action|Adventure|Thriller
1408,140,"Last of the Mohicans, The (1992)",Action|Romance|War
1527,141,"Fifth Element, The (1997)",Action|Sci-Fi
3256,142,Patriot Games (1992),Action|Thriller
2006,143,"Mask of Zorro, The (1998)",Action|Adventure|Romance
2353,144,Enemy of the State (1998),Action|Thriller
1370,145,Die Hard 2 (1990),Action|Thriller
2278,146,Ronin (1998),Action|Crime|Thriller
648,147,Mission, Impossible (1996)
2427,148,"Thin Red Line, The (1998)",Action|Drama|War
1372,149,Star Trek VI, The Undiscovered Country (1991)
1552,150,Con Air (1997),Action|Adventure|Thriller
1792,151,U.S. Marshalls (1998),Action|Thriller
780,152,Independence Day (ID4) (1996),Action|Sci-Fi|War
1385,153,Under Siege (1992),Action
2490,154,Payback (1999),Action|Thriller
165,155,Die Hard, With a Vengeance (1995)
368,156,Maverick (1994),Action|Comedy|Western
459,157,"Getaway, The (1994)",Action
1801,158,"Man in the Iron Mask, The (1998)",Action|Drama|Romance
2881,159,Double Jeopardy (1999),Action|Thriller
3107,160,Backdraft (1991),Action|Drama
442,161,Demolition Man (1993),Action|Sci-Fi
1597,162,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller
1690,163,Alien, Resurrection (1997)
2628,164,Star Wars, Episode I - The Phantom Menace (1999)
3257,165,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller
736,166,Twister (1996),Action|Adventure|Romance|Thriller
2002,167,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
292,168,Outbreak (1995),Action|Drama|Thriller
2126,169,Snake Eyes (1998),Action|Crime|Mystery|Thriller
95,170,Broken Arrow (1996),Action|Thriller
434,171,Cliffhanger (1993),Action|Adventure|Crime
1544,172,Lost World," Jurassic Park, The (1997)"
1687,173,"Jackal, The (1997)",Action|Thriller
1917,174,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller
3534,175,28 Days (2000),Comedy
1431,176,Beverly Hills Ninja (1997),Action|Comedy
1266,177,Unforgiven (1992),Western
1378,178,Young Guns (1988),Action|Comedy|Western
1379,179,Young Guns II (1990),Action|Comedy|Western
3671,180,Blazing Saddles (1974),Comedy|Western
2871,181,Deliverance (1972),Adventure|Thriller
3168,182,Easy Rider (1969),Adventure|Drama
1291,183,Indiana Jones and the Last Crusade (1989),Action|Adventure
2167,184,Blade (1998),Action|Adventure|Horror
1261,185,Evil Dead II (Dead By Dawn) (1987),Action|Adventure|Comedy|Horror
1580,186,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
1615,187,"Edge, The (1997)",Adventure|Thriller
653,188,Dragonheart (1996),Action|Adventure|Fantasy
733,189,"Rock, The (1996)",Action|Adventure|Thriller
2115,190,Indiana Jones and the Temple of Doom (1984),Action|Adventure
2470,191,Crocodile Dundee (1986),Adventure|Comedy
1049,192,"Ghost and the Darkness, The (1996)",Action|Adventure
552,193,"Three Musketeers, The (1993)",Action|Adventure|Comedy
2617,194,"Mummy, The (1999)",Action|Adventure|Horror|Thriller
2735,195,"Golden Child, The (1986)",Action|Adventure|Comedy
1136,196,Monty Python and the Holy Grail (1974),Comedy
1394,197,Raising Arizona (1987),Comedy
2997,198,Being John Malkovich (1999),Comedy
3421,199,Animal House (1978),Comedy
1304,200,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
3619,201,"Hollywood Knights, The (1980)",Comedy
1079,202,"Fish Called Wanda, A (1988)",Comedy
1641,203,"Full Monty, The (1997)",Comedy
3552,204,Caddyshack (1980),Comedy
104,205,Happy Gilmore (1996),Comedy
3868,206,Naked Gun," From the Files of Police Squad!, The (1988)"
2081,207,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance
3527,208,Predator (1987),Action|Sci-Fi|Thriller
1387,209,Jaws (1975),Action|Horror
1201,210,"Good, The Bad and The Ugly, The (1966)",Action|Western
2366,211,King Kong (1933),Action|Adventure|Horror
2947,212,Goldfinger (1964),Action
1214,213,Alien (1979),Action|Horror|Sci-Fi|Thriller
1240,214,"Terminator, The (1984)",Action|Sci-Fi|Thriller
3702,215,Mad Max (1979),Action|Sci-Fi
1036,216,Die Hard (1988),Action|Thriller
2951,217,"Fistful of Dollars, A (1964)",Action|Western
908,218,North by Northwest (1959),Drama|Thriller
1250,219,"Bridge on the River Kwai, The (1957)",Drama|War
1127,220,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
2188,221,54 (1998),Drama
2683,222,Austin Powers, The Spy Who Shagged Me (1999)
3051,223,Anywhere But Here (1999),Drama
2770,224,Bowfinger (1999),Comedy
2908,225,Boys Don't Cry (1999),Drama
3786,226,But I'm a Cheerleader (1999),Comedy
3016,227,Creepshow (1982),Horror
1093,228,"Doors, The (1991)",Drama|Musical
2759,229,Dick (1999),Comedy
2599,230,Election (1999),Comedy
3113,231,End of Days (1999),Action|Thriller
2428,232,"Faculty, The (1998)",Horror|Sci-Fi
2959,233,Fight Club (1999),Drama
3409,234,Final Destination (2000),Drama|Thriller
2333,235,Gods and Monsters (1998),Drama
2580,236,Go (1999),Crime
2607,237,Get Real (1998),Drama
2716,238,Ghostbusters (1984),Comedy|Horror
2318,239,Happiness (1998),Comedy
2390,240,Little Voice (1998),Comedy
913,241,"Maltese Falcon, The (1941)",Film-Noir|Mystery
2723,242,Mystery Men (1999),Action|Adventure|Comedy
2734,243,"Mosquito Coast, The (1986)",Drama
968,244,Night of the Living Dead (1968),Horror|Sci-Fi
24,245,Powder (1995),Drama|Sci-Fi
299,246,Priest (1994),Drama
2013,247,"Poseidon Adventure, The (1972)",Action|Adventure
1513,248,Romy and Michele's High School Reunion (1997),Comedy
2560,249,Ravenous (1999),Drama|Horror
2395,250,Rushmore (1998),Comedy
3081,251,Sleepy Hollow (1999),Horror|Romance
2700,252,South Park," Bigger, Longer and Uncut (1999)"
2806,253,Teaching Mrs. Tingle (1999),Comedy|Thriller
3176,254,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller
2070,255,Tender Mercies (1983),Drama
2337,256,Velvet Goldmine (1998),Drama
2721,257,Trick (1999),Romance
2987,258,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir
3793,259,X-Men (2000),Action|Sci-Fi
3624,260,Shanghai Noon (2000),Action
3514,261,Joe Gould's Secret (2000),Drama
3513,262,Rules of Engagement (2000),Drama|Thriller
3744,263,Shaft (2000),Action|Crime
3799,264,Pokémon the Movie 2000 (2000),Animation|Children's
501,265,Naked (1993),Drama
1243,266,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama
1617,267,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1046,268,Beautiful Thing (1996),Drama|Romance
3083,269,All About My Mother (Todo Sobre Mi Madre) (1999),Comedy|Drama
296,270,Pulp Fiction (1994),Crime|Drama
50,271,"Usual Suspects, The (1995)",Crime|Thriller
1089,272,Reservoir Dogs (1992),Crime|Thriller
1719,273,"Sweet Hereafter, The (1997)",Drama
714,274,Dead Man (1995),Western
860,275,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Comedy
896,276,Wild Reeds (1994),Drama
1192,277,Paris Is Burning (1990),Documentary
1704,278,Good Will Hunting (1997),Drama
800,279,Lone Star (1996),Drama|Mystery
994,280,Big Night (1996),Drama
1554,281,"Pillow Book, The (1995)",Drama|Romance
1684,282,Mrs. Dalloway (1997),Romance
176,283,Living in Oblivion (1995),Comedy
2289,284,"Player, The (1992)",Comedy|Drama
3728,285,One False Move (1991),Thriller
34,286,Babe (1995),Children's|Comedy|Drama
562,287,Welcome to the Dollhouse (1995),Comedy|Drama
1730,288,Kundun (1997),Drama
1788,289,Men With Guns (1997),Action|Drama
162,290,Crumb (1994),Documentary
1912,291,Out of Sight (1998),Action|Crime|Romance
1649,292,"Fast, Cheap & Out of Control (1997)",Documentary
2282,293,Pecker (1998),Comedy|Drama
41,294,Richard III (1995),Drama|War
728,295,Cold Comfort Farm (1995),Comedy
1175,296,Delicatessen (1991),Comedy|Sci-Fi
2437,297,Wilde (1997),Drama
36,298,Dead Man Walking (1995),Drama
581,299,"Celluloid Closet, The (1995)",Documentary
2159,300,Henry, Portrait of a Serial Killer (1990)
2291,301,Edward Scissorhands (1990),Drama|Romance
1449,302,Waiting for Guffman (1996),Comedy
1171,303,Bob Roberts (1992),Comedy
3163,304,Topsy-Turvy (1999),Drama
461,305,Go Fish (1994),Drama|Romance
3267,306,"Mariachi, El (1992)",Action|Thriller
32,307,Twelve Monkeys (1995),Drama|Sci-Fi
1509,308,All Over Me (1997),Drama
3046,309,"Incredibly True Adventure of Two Girls in Love, The (1995)",Comedy|Romance
39,310,Clueless (1995),Comedy|Romance
1529,311,Nowhere (1997),Drama
29,312,"City of Lost Children, The (1995)",Adventure|Sci-Fi
1095,313,Glengarry Glen Ross (1992),Drama
3260,314,Howards End (1992),Drama
3499,315,Misery (1990),Horror
1279,316,Night on Earth (1991),Comedy|Drama
1500,317,Grosse Pointe Blank (1997),Comedy|Crime
1635,318,"Ice Storm, The (1997)",Drama
1650,319,Washington Square (1997),Drama
1923,320,There's Something About Mary (1998),Comedy
47,321,Seven (Se7en) (1995),Crime|Thriller
866,322,Bound (1996),Crime|Drama|Romance|Thriller
1734,323,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama
215,324,Before Sunrise (1995),Drama|Romance
3006,325,"Insider, The (1999)",Drama
2323,326,"Cruise, The (1998)",Documentary
2890,327,Three Kings (1999),Drama|War
272,328,"Madness of King George, The (1994)",Drama
1535,329,Love! Valour! Compassion! (1997),Drama|Romance
1759,330,Four Days in September (1997),Drama
1594,331,In the Company of Men (1997),Drama
1517,332,Austin Powers, International Man of Mystery (1997)
1885,333,"Opposite of Sex, The (1998)",Comedy|Drama
16,334,Casino (1995),Drama|Thriller
1392,335,Citizen Ruth (1996),Comedy|Drama
3100,336,"River Runs Through It, A (1992)",Drama
1747,337,Wag the Dog (1997),Comedy|Drama
497,338,Much Ado About Nothing (1993),Comedy|Romance
1466,339,Donnie Brasco (1997),Crime|Drama
2384,340,Babe, Pig in the City (1998)
1732,341,"Big Lebowski, The (1998)",Comedy|Crime|Mystery|Thriller
2058,342,"Negotiator, The (1998)",Action|Thriller
1729,343,Jackie Brown (1997),Crime|Drama
2952,344,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",Crime|Thriller
224,345,Don Juan DeMarco (1995),Comedy|Drama|Romance
357,346,Four Weddings and a Funeral (1994),Comedy|Romance
509,347,"Piano, The (1993)",Drama|Romance
1429,348,Jackie Chan's First Strike (1996),Action
321,349,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
348,350,Bullets Over Broadway (1994),Comedy
412,351,"Age of Innocence, The (1993)",Drama
1653,352,Gattaca (1997),Drama|Sci-Fi|Thriller
1715,353,Office Killer (1997),Thriller
6,354,Heat (1995),Action|Crime|Thriller
1643,355,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Drama|Romance
3020,356,Falling Down (1993),Action|Drama
3249,357,"Hand That Rocks the Cradle, The (1992)",Thriller
3476,358,Jacob's Ladder (1990),Horror|Mystery|Thriller
1966,359,Metropolitan (1990),Comedy
1268,360,Pump Up the Volume (1990),Drama
3386,361,JFK (1991),Drama|Mystery
1794,362,Love and Death on Long Island (1997),Comedy|Drama
377,363,Speed (1994),Action|Romance|Thriller
506,364,Orlando (1993),Drama
202,365,Total Eclipse (1995),Drama|Romance
194,366,Smoke (1995),Drama
1683,367,"Wings of the Dove, The (1997)",Drama|Romance|Thriller
1722,368,Tomorrow Never Dies (1997),Action|Romance|Thriller
1921,369,Pi (1998),Sci-Fi|Thriller
2725,370,Twin Falls Idaho (1999),Drama
3079,371,Mansfield Park (1999),Drama
3266,372,Man Bites Dog (C'est arrivé près de chez vous) (1992),Action|Comedy|Crime|Drama
1191,373,Madonna, Truth or Dare (1991)
1897,374,High Art (1998),Drama|Romance
1733,375,Afterglow (1997),Drama|Romance
52,376,Mighty Aphrodite (1995),Comedy
1909,377,X-Files," Fight the Future, The (1998)"
353,378,"Crow, The (1994)",Action|Romance|Thriller
551,379,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
229,380,Death and the Maiden (1994),Drama|Thriller
2029,381,Billy's Hollywood Screen Kiss (1997),Comedy|Romance
1485,382,Liar Liar (1997),Comedy
1884,383,Fear and Loathing in Las Vegas (1998),Comedy|Drama
288,384,Natural Born Killers (1994),Action|Thriller
3072,385,Moonstruck (1987),Comedy
912,386,Casablanca (1942),Drama|Romance|War
1043,387,To Gillian on Her 37th Birthday (1996),Drama|Romance
17,388,Sense and Sensibility (1995),Drama|Romance
1441,389,Benny & Joon (1993),Comedy|Romance
1296,390,"Room with a View, A (1986)",Drama|Romance
3685,391,Prizzi's Honor (1985),Comedy|Drama|Romance
1674,392,Witness (1985),Drama|Romance|Thriller
2100,393,Splash (1984),Comedy|Fantasy|Romance
1959,394,Out of Africa (1985),Drama|Romance
2802,395,Tequila Sunrise (1988),Action|Romance|Thriller
1088,396,Dirty Dancing (1987),Musical|Romance
1101,397,Top Gun (1986),Action|Romance
2406,398,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
2469,399,Peggy Sue Got Married (1986),Comedy|Romance
3501,400,Murphy's Romance (1985),Comedy|Romance
3524,401,Arthur (1981),Comedy|Romance
569,402,Little Big League (1994),Children's|Comedy
1806,403,Paulie (1998),Adventure|Children's|Comedy
2082,404,"Mighty Ducks, The (1992)",Children's|Comedy
2506,405,"Other Sister, The (1999)",Comedy|Drama|Romance
2966,406,"Straight Story, The (1999)",Drama
838,407,Emma (1996),Comedy|Drama|Romance
199,408,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
364,409,"Lion King, The (1994)",Animation|Children's|Musical
1688,410,Anastasia (1997),Animation|Children's|Musical
1030,411,Pete's Dragon (1977),Adventure|Animation|Children's|Musical
1380,412,Grease (1978),Comedy|Musical|Romance
1947,413,West Side Story (1961),Musical|Romance
3604,414,Gypsy (1962),Musical
2017,415,Babes in Toyland (1961),Children's|Fantasy|Musical
3600,416,Blue Hawaii (1961),Comedy|Musical
3610,417,Roustabout (1964),Musical
266,418,Legends of the Fall (1994),Drama|Romance|War|Western
383,419,Wyatt Earp (1994),Western
1007,420,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western
3074,421,Jeremiah Johnson (1972),Western
3508,422,"Outlaw Josey Wales, The (1976)",Western
3682,423,Magnum Force (1973),Western
3753,424,"Patriot, The (2000)",Action|Drama|War
3536,425,Keeping the Faith (2000),Comedy|Romance
3565,426,Where the Heart Is (2000),Comedy|Drama
3717,427,Gone in 60 Seconds (2000),Action|Crime
1569,428,My Best Friend's Wedding (1997),Comedy|Romance
597,429,Pretty Woman (1990),Comedy|Romance
1221,430,Godfather," Part II, The (1974)"
1997,431,"Exorcist, The (1973)",Horror
474,432,In the Line of Fire (1993),Action|Thriller
861,433,Supercop (1992),Action|Thriller
1573,434,Face/Off (1997),Action|Sci-Fi|Thriller
111,435,Taxi Driver (1976),Drama|Thriller
3481,436,High Fidelity (2000),Comedy
393,437,Street Fighter (1994),Action
3265,438,Hard-Boiled (Lashou shentan) (1992),Action|Crime
555,439,True Romance (1993),Action|Crime|Romance
1916,440,Buffalo 66 (1998),Action|Comedy|Drama
2699,441,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller
2600,442,eXistenZ (1999),Action|Sci-Fi|Thriller
25,443,Leaving Las Vegas (1995),Drama|Romance
1059,444,William Shakespeare's Romeo and Juliet (1996),Drama|Romance
1277,445,Cyrano de Bergerac (1990),Action|Drama|Romance
1735,446,Great Expectations (1998),Drama|Romance
1393,447,Jerry Maguire (1996),Drama|Romance
1639,448,Chasing Amy (1997),Drama|Romance
2329,449,American History X (1998),Drama
3252,450,Scent of a Woman (1992),Drama
2336,451,Elizabeth (1998),Drama
2686,452,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
3250,453,Alive (1993),Drama
337,454,What's Eating Gilbert Grape (1993),Drama
3148,455,"Cider House Rules, The (1999)",Drama
58,456,"Postino, Il (The Postman) (1994)",Drama|Romance
73,457,"Misérables, Les (1995)",Drama|Musical
1673,458,Boogie Nights (1997),Drama
538,459,Six Degrees of Separation (1993),Drama
1120,460,"People vs. Larry Flynt, The (1996)",Drama
1411,461,Hamlet (1996),Drama
3246,462,Malcolm X (1992),Drama
161,463,Crimson Tide (1995),Drama|Thriller|War
508,464,Philadelphia (1993),Drama
2324,465,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
2442,466,Hilary and Jackie (1998),Drama
1840,467,He Got Game (1998),Drama
524,468,Rudy (1993),Drama
1660,469,Eve's Bayou (1997),Drama
1678,470,"Joy Luck Club, The (1993)",Drama
476,471,"Inkwell, The (1994)",Comedy|Drama
14,472,Nixon (1995),Drama
1682,473,"Truman Show, The (1998)",Drama
2712,474,Eyes Wide Shut (1999),Drama
253,475,Interview with the Vampire (1994),Drama|Horror
345,476,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
650,477,Moll Flanders (1996),Drama
1589,478,Cop Land (1997),Crime|Drama|Mystery
2702,479,Summer of Sam (1999),Drama
1621,480,Soul Food (1997),Drama
1810,481,Primary Colors (1998),Drama
2541,482,Cruel Intentions (1999),Drama
269,483,My Crazy Life (Mi vida loca) (1993),Drama
1693,484,Amistad (1997),Drama
151,485,Rob Roy (1995),Drama|Romance|War
454,486,"Firm, The (1993)",Drama|Thriller
465,487,Heaven & Earth (1993),Action|Drama|War
2297,488,What Dreams May Come (1998),Drama|Romance
2688,489,"General's Daughter, The (1999)",Drama|Thriller
1476,490,Private Parts (1997),Comedy|Drama
3259,491,Far and Away (1992),Drama|Romance
230,492,Dolores Claiborne (1994),Drama|Thriller
1701,493,Deconstructing Harry (1997),Comedy|Drama
3528,494,"Prince of Tides, The (1991)",Drama|Romance
282,495,Nell (1994),Drama
2023,496,Godfather," Part III, The (1990)"
2320,497,Apt Pupil (1998),Drama|Thriller
1711,498,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery
2429,499,Mighty Joe Young (1998),Adventure|Children's|Drama
1488,500,"Devil's Own, The (1997)",Action|Drama|Thriller|War
3425,501,Mo' Better Blues (1990),Drama
3173,502,Any Given Sunday (1999),Drama
105,503,"Bridges of Madison County, The (1995)",Drama|Romance
510,504,Poetic Justice (1993),Drama
2314,505,Beloved (1998),Drama
4,506,Waiting to Exhale (1995),Comedy|Drama
1027,507,Robin Hood, Prince of Thieves (1991)
3155,508,Anna and the King (1999),Drama|Romance
42,509,Dead Presidents (1995),Action|Crime|Drama
3500,510,Mr. Saturday Night (1992),Comedy|Drama
1274,511,Akira (1988),Adventure|Animation|Sci-Fi|Thriller
3213,512,Batman, Mask of the Phantasm (1993)
741,513,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi
3751,514,Chicken Run (2000),Animation|Children's|Comedy
3178,515,"Hurricane, The (1999)",Drama
3916,516,Remember the Titans (2000),Drama
3948,517,Meet the Parents (2000),Comedy
1233,518,"Boat, The (Das Boot) (1981)",Action|Drama|War
1148,519,"Wrong Trousers, The (1993)",Animation|Comedy
1307,520,When Harry Met Sally... (1989),Comedy|Romance
3510,521,Frequency (2000),Drama|Thriller
3755,522,"Perfect Storm, The (2000)",Action|Adventure|Thriller
3623,523,Mission, Impossible 2 (2000)
3298,524,Boiler Room (2000),Drama
3301,525,"Whole Nine Yards, The (2000)",Comedy|Crime
3452,526,Romeo Must Die (2000),Action|Romance
3826,527,Hollow Man (2000),Horror|Sci-Fi|Thriller
3484,528,"Skulls, The (2000)",Thriller
1223,529,"Grand Day Out, A (1992)",Animation|Comedy
3160,530,Magnolia (1999),Drama
1310,531,Hype! (1996),Documentary
1446,532,Kolya (1996),Comedy
1669,533,"Tango Lesson, The (1997)",Romance
223,534,Clerks (1994),Comedy
3253,535,Wayne's World (1992),Comedy
2166,536,Return to Paradise (1998),Drama|Romance
1358,537,Sling Blade (1996),Drama|Thriller
1584,538,Contact (1997),Drama|Sci-Fi
778,539,Trainspotting (1996),Drama
1060,540,Swingers (1996),Comedy|Drama
1343,541,Cape Fear (1991),Thriller
300,542,Quiz Show (1994),Drama
1777,543,"Wedding Singer, The (1998)",Comedy|Romance
3270,544,"Cutting Edge, The (1992)",Drama
2302,545,My Cousin Vinny (1992),Comedy
529,546,Searching for Bobby Fischer (1993),Drama
805,547,"Time to Kill, A (1996)",Drama
428,548,"Bronx Tale, A (1993)",Drama
1356,549,Star Trek, First Contact (1996)
367,550,"Mask, The (1994)",Comedy|Crime|Fantasy
